trigger_num,name,t90,flnc_band_alpha,flnc_band_beta,flnc_band_epeak,flnc_band_phtflux
6657,GRB 980325-,  42.368,  -1.15,  -5.64,134,   0.87
3634,4B 950608, 142.048,  -1.01,  -2.19,332,   0.99
5729,GRB 961228-,  52.992,  -1.43,  -2.35,105,   1.97
7635,GRB 990706-, 124.160,  -1.24, -18.63,566,   0.59
5693,GRB 961125, 355.072,  -1.04,  -2.45,69.1,   0.67
7656,GRB 990716-,  60.096,  -0.88,  -4.36,929,   0.33
472,4B 910701,  82.176,  -0.89,  -2.17,102,   0.31
606,4B 910802-,  20.736,  -1.18,  -2.39,250,   0.93
2067,4B 921123-,  30.848,  -0.67,  -2.55,212,   3.58
1153,4B 911208-,   9.024,  -1.04, -10.71,119,   0.35
6707,GRB 980425,  34.880,  -1.41,  -2.82,136,   1.08
6433,GRB 971014,   0.192,   0.67,  -1.36,137,   0.46
142,4B 910502-,,  -1.13,  -5.94,211,   2.08
6585,GRB 980202,  17.536,  -1.89,  -7.63,1140,   1.26
5648,GRB 961029-,  40.448,  -1.14,  -2.65,205,   0.51
7430,GRB 990226-,   3.904,  -1.44,  -8.50,2380,   0.31
6602,GRB 980215,  39.680,  -1.28, -18.50,634,   0.58
7227,GRB 981124,   0.092,  -0.42,  -7.63,430,   0.31
7191,GRB 981105,  44.928,  -1.91,  -7.52,1910,   0.65
6125,GRB 970315-,1307.008,  -0.92,  -3.00,423,   0.49
2232,4B 930310,  56.512,  -1.03,  -2.80,199,   1.74
3770,4B 950830-,   0.544,  -0.53,  -2.91,786,   0.37
3227,4B 941008, 115.328,  -1.20,  -2.41,305,   3.44
5562,4B 960804-,   0.160,  -0.85,  -4.88,975,   0.27
6802,GRB 980601,  31.296,  -1.50, -17.63,266,   0.72
2090,4B 921209-,  38.144,  -1.08,  -3.09,183,   2.09
6528,GRB 971210-,  15.680,  -0.97,  -2.51,189,   1.50
1614,4B 920520-, 215.040,  -0.58, -13.11,164,   0.42
2496,4B 930820,  36.512,   0.66, -23.28,281,   0.21
7292,GRB 981231-,   0.262,   1.01,  -2.05,209,   0.50
6349,GRB 970827,  82.688,  -1.21,  -2.04,378,   0.80
1430,4B 920222,,  -1.91,  -7.13,682,   0.65
5451,4B 960430,  24.512,  -0.52,  -3.23,177,   1.54
1042,4B 911111-,  25.024,  -2.17,  -6.17,434,   0.74
630,4B 910805,  18.176,   0.74,  -2.49,91.1,   0.43
1321,4B 920130-,,  -1.22,  -3.14,131,   1.38
1453,4B 920229-,   0.192,   0.06,  -5.27,238,   1.27
3379,4B 950129-,   0.608,  -0.61,  -9.54,252,   0.61
219,4B 910522,  29.696,  -1.15,  -2.38,268,   2.43
229,4B 910526-,   0.448,   0.03, -11.92,320,   0.17
2663,4B 931128-,  12.224,  -1.30, -22.91,88.7,   0.47
2443,4B 930711-,  28.896,  -1.30,  -2.51,234,   0.56
1204,4B 911223,   3.712,  -0.84,  -2.78,198,   0.58
5561,4B 960803-,   0.104,  -0.90,  -5.35,135,   1.82
6678,GRB 980404-,   8.192,  -1.17,  -2.98,110,   0.56
1690,4B 920708,   3.200,  -1.12,  -6.42,171,   0.67
3096,4B 940726,   6.976,  -1.13,  -2.62,128,   1.85
2693,4B 931215-,   0.188,  -1.22,  -1.56,233,   0.24
3110,4B 940806-,  10.176,  -0.14,  -5.80,581,   1.92
3405,4B 950206-,  67.392,  -0.54,  -1.85,521,   0.75
7449,GRB 990305-,   0.987,  -0.71, -10.63,136,   0.94
